y,ds,unique_id,index,TimesNet,TimesNet-median,TimesNet-lo-100,TimesNet-lo-95,TimesNet-lo-90,TimesNet-lo-85,TimesNet-lo-80,TimesNet-hi-80,TimesNet-hi-85,TimesNet-hi-90,TimesNet-hi-95,TimesNet-hi-100
91.0,2025-06-09 00:00:00,series_1,0,51.072083,51.607384,-105.71008,6.8292475,16.405052,25.181421,28.821293,72.7553,75.970024,80.22262,87.45867,174.72714
103.0,2025-06-09 00:05:00,series_1,1,39.233757,39.10353,-90.846375,0.206451,6.8501277,11.753819,16.198637,61.810326,66.47155,71.89504,81.66776,150.00049
84.0,2025-06-09 00:10:00,series_1,2,40.985344,41.357933,-113.422,-1.8367293,9.252984,13.218539,16.996485,64.05526,67.36011,72.96504,81.87981,148.23236
72.0,2025-06-09 00:15:00,series_1,3,34.625675,35.012527,-205.95398,-3.474635,4.70297,9.494742,12.792914,55.452477,59.596493,64.84527,74.17166,201.9225
78.0,2025-06-09 00:20:00,series_1,4,16.650232,17.915531,-94.39012,-28.304874,-17.54042,-12.139499,-7.551689,41.273777,44.23951,49.486256,56.15182,100.47383
76.0,2025-06-09 00:25:00,series_1,5,21.990082,21.981932,-129.06804,-21.186739,-10.451873,-5.1253085,-0.36978033,46.566387,50.606056,55.433365,62.92644,145.25711
73.0,2025-06-09 00:30:00,series_1,6,5.0511994,5.8873844,-247.57979,-41.316097,-30.5661,-25.701935,-20.816011,31.562601,35.242985,44.000637,52.841446,180.55357
55.0,2025-06-09 00:35:00,series_1,7,3.7477126,4.182661,-559.69275,-47.355865,-33.436264,-26.589,-21.36963,31.537302,35.394558,40.289093,51.25105,169.882
61.0,2025-06-09 00:40:00,series_1,8,24.106628,24.251345,-80.62976,-19.876348,-8.675629,-2.8407166,-0.18066467,47.450005,51.599586,57.12654,66.922134,333.2458
59.0,2025-06-09 00:45:00,series_1,9,12.261332,11.492443,-128.14032,-35.662693,-25.05971,-18.473694,-14.898949,38.84016,42.67764,48.885643,64.15877,326.04504
